Date,PM2.5,PM10
03/13/18,19.41875,30.625
03/13/19,11.15,47.0
03/13/24,4.733333333333333,15.166666666666666
03/14/14,18.6,38.2
03/14/16,6.375,16.75
03/14/17,45.26666666666667,47.666666666666664
03/14/18,5.171428571428572,7.25
03/14/19,12.208333333333334,31.166666666666668
03/14/24,8.566666666666666,24.5
03/15/16,9.5625,32.125
03/15/17,26.65,49.5
03/15/18,3.9857142857142853,7.142857142857143
03/15/19,8.925,24.875
03/15/21,4.84375,13.0
03/15/23,2.066666666666667,4.5
03/15/24,4.25,16.0
03/16/15,11.5625,28.25
03/16/16,14.375,42.625
03/16/17,17.075,44.75
03/16/18,7.858333333333333,26.666666666666668
03/16/20,9.225,31.0
03/16/21,4.785714285714286,7.714285714285714
03/16/23,7.5,15.0
03/17/14,18.714285714285715,43.714285714285715
03/17/15,15.25,45.375
03/17/16,12.785714285714286,44.125
03/17/17,20.75,41.42857142857143
03/17/20,5.375,10.5
03/17/21,12.125,23.0
03/17/23,13.55,24.0
03/18/14,13.5,40.375
03/18/15,9.8125,34.875
03/18/16,26.363636363636363,56.125
03/18/19,12.7875,31.75
03/18/21,14.8,35.75
03/18/22,14.386363636363637,37.666666666666664
03/18/24,13.725,31.375
03/19/14,19.142857142857142,48.42857142857143
03/19/15,11.692307692307692,32.333333333333336
03/19/18,12.73076923076923,27.0
03/19/19,17.758333333333333,40.333333333333336
03/19/21,14.350000000000001,30.5
03/19/24,10.0,22.833333333333332
03/20/14,19.375,46.125
03/20/15,25.5,47.375
03/20/17,8.0875,12.0
03/20/18,11.0,27.0
03/20/19,9.466666666666667,20.0
03/20/20,4.65,7.5
03/20/23,7.035714285714286,6.071428571428571
03/20/24,18.05,27.5
03/21/14,20.25,45.25
03/21/16,21.5625,49.25
03/21/18,9.0375,19.25
03/21/19,7.716666666666666,30.0
03/21/22,11.629166666666668,29.8125
03/22/16,9.8125,31.5
03/22/17,6.05,3.8333333333333335
03/22/18,13.733333333333334,20.333333333333332
03/22/19,6.95,17.333333333333332
03/22/21,8.8,22.0
03/22/22,13.7875,35.8125
03/23/15,9.666666666666666,20.166666666666668
03/23/16,10.25,32.625
03/23/18,6.811111111111111,13.6
03/23/21,17.9,40.0
03/23/22,16.454166666666666,35.125
03/24/14,24.0,51.375
03/24/15,11.375,27.5
03/24/16,9.9375,26.375
03/24/21,7.724999999999999,17.5
03/24/22,14.595833333333333,34.1875
03/24/23,8.35,18.0
03/30/15,22.333333333333332,
03/30/16,5.5,17.625
03/30/17,7.85,24.0
03/30/22,9.700000000000001,23.125
04/01/14,4.875,9.75
04/01/15,19.2,34.6
04/01/16,10.5,39.5
04/01/22,12.270833333333334,26.125
04/02/14,2.857142857142857,9.75
04/02/15,15.933333333333334,42.285714285714285
04/02/18,12.766666666666666,23.333333333333332
04/02/20,9.75,19.5
04/02/21,15.45,36.0
04/02/24,7.8999999999999995,15.5
04/03/14,9.125,21.25
04/03/15,17.375,39.25
04/03/17,6.0,
04/03/18,15.236363636363636,23.714285714285715
04/03/19,3.4125,10.25
04/03/24,10.725,24.75
04/04/14,11.142857142857142,30.5
04/04/16,12.3125,35.125
04/04/17,6.0,
04/04/22,11.18,21.3
04/04/24,6.521428571428571,14.5
04/05/16,15.2,39.4
04/05/17,22.6875,41.375
04/05/18,39.55,73.0
04/05/21,13.792857142857143,31.857142857142858
04/05/22,9.266666666666667,27.5
04/06/15,8.25,28.5
04/06/16,16.833333333333332,41.333333333333336
04/06/17,18.525,46.875
04/06/18,13.05,37.0
04/06/20,3.2142857142857144,
04/06/23,15.15,37.5
04/07/14,16.875,26.875
04/07/15,8.142857142857142,17.714285714285715
04/07/16,16.3,34.0
04/07/17,13.71875,26.125
04/07/20,3.8285714285714287,
04/08/14,19.0,31.875
04/08/15,9.416666666666666,16.666666666666668
04/08/16,14.916666666666666,36.666666666666664
04/08/20,6.94375,8.75
04/08/21,14.85,38.0
04/08/22,16.66,45.7
04/09/14,17.0,31.875
04/09/15,12.8125,22.75
04/09/18,24.05,60.0
04/09/20,2.8,5.0
04/09/21,17.066666666666666,47.333333333333336
04/10/14,16.875,32.0
04/10/15,15.5,29.666666666666668
04/10/17,12.93125,25.625
04/10/18,14.3,47.0
04/10/20,2.84375,3.25
04/10/24,10.8,18.375
04/11/14,27.875,39.375
04/11/16,9.0,22.6
04/11/17,15.61875,35.25
04/11/18,16.7,46.5
04/11/22,20.3,41.0
04/11/23,26.8875,29.375
04/11/24,15.9,31.5
04/12/16,11.666666666666666,27.333333333333332
04/12/17,13.1125,32.625
04/12/19,18.4,45.0
04/12/23,9.616666666666667,15.0
04/12/24,23.78333333333333,29.0
04/13/15,17.6,31.2
04/13/16,10.666666666666666,27.666666666666668
04/13/17,6.41875,10.125
04/13/18,15.05,48.0
04/13/20,3.6799999999999997,7.2
04/13/22,9.733333333333333,32.0
04/13/23,9.9,24.0625
04/14/14,23.0,35.875
04/14/15,14.0,34.0
04/14/16,14.0,31.0
04/14/17,10.25625,28.75
04/14/20,8.58,18.4
04/14/21,16.2,38.0
04/14/23,10.58125,18.25
04/15/14,29.25,50.75
04/15/15,17.3,39.4
04/15/16,7.0,73.0
04/15/19,13.771428571428572,31.428571428571427
04/15/20,13.328571428571427,24.571428571428573
04/15/22,7.933333333333334,21.0
04/15/24,6.316666666666666,11.166666666666666
04/16/14,29.375,46.25
04/16/15,16.571428571428573,59.0
04/16/18,11.6,39.333333333333336
04/16/20,8.566666666666666,23.0
04/17/14,26.75,46.0
04/17/15,14.4375,47.75
04/17/17,10.38125,21.125
04/17/18,3.6700000000000004,15.2
04/17/20,9.8375,28.25
04/17/23,15.375,28.375
04/18/14,17.5,28.5
04/18/16,12.5,34.25
04/18/17,10.29375,13.75
04/18/18,10.05,33.0
04/18/23,13.1375,26.0625
04/19/16,15.0,35.285714285714285
04/19/17,5.5375,4.625
04/19/18,6.39375,19.125
04/19/19,22.95,52.0
04/19/22,14.9,36.0
04/19/23,10.685714285714285,28.142857142857142
04/20/15,18.25,31.75
04/20/17,11.671428571428573,32.142857142857146
04/20/18,9.4625,26.0
