School,Street Address,Street Zip,Latitude,Longitude
Valley View Elementary,4900 Maryland Ave.,91214-1245,34.238338,-118.250736
Verdugo Academy,1700 East Mountain St.,91207-1246,34.164082,-118.228083
Verdugo Woodlands Elementary,1751 North Verdugo Rd.,91208-2999,34.173062,-118.226516
Woodrow Wilson Middle,1221 Monterey Rd.,91206-2521,34.155211,-118.238332
Zangakner,602 E Glenoaks Blvd,91207-1712,34.158081,-118.248848
Academy for Recording Arts,14115 Chadron Ave.,90250-8208,33.902866,-118.32868
Al-huda Islamic School,12227 Hawthorne Way,90250-3811,33.921326,-118.35388
Bud Carson Middle,13838 South Yukon Ave.,90250-7716,33.906465,-118.33516
Eucalyptus,12044 South Eucalyptus Ave.,90250-3602,33.923259,-118.359052
Hawthorne Math and Science Academy,4467 West Broadway,90250-3819,33.920043,-118.354063
Hawthorne Middle,4366 West 129th St.,90250-5211,33.91528,-118.350701
Jefferson,4091 West 139th St.,90250-7303,33.905321,-118.346386
Kornblum,3620 West El Segundo Blvd.,90250-4819,33.916385,-118.335988
Prairie Vista Middle,13600 South Prairie Ave.,90250-7306,33.908385,-118.343796
Ramona,4617 West 136th St.,90250-5735,33.909002,-118.357486
Rising Stars Academy Elementary,13703 Prairie Ave,90250-7307,33.907328,-118.344117
St. Joseph Elementary,11886 Acacia Ave.,90250-3003,33.925736,-118.351315
Trinity Lutheran School,4783 West 130th St.,90250-5148,33.914344,-118.361197
Washington,4339 West 129th St.,90250-5210,33.915405,-118.350203
York,11838 South York Ave.,90250-3125,33.926644,-118.344879
Zela Davis,13435 South Yukon Ave.,90250-6228,33.909935,-118.335233
Hermosa Valley Elementary,1645 Valley Dr.,90254-2921,33.866394,-118.395992
Hermosa View Elementary,1800 Prospect Ave.,90254-3350,33.869023,-118.390542
Hermosa Vista,417 25Th St.,90254-2620,33.872624,-118.402573
Opportunities for Learning - Hermosa Beach,13613 Hawthorne Ave.,90250,33.90848,-118.352492
"Options for Youth-Hermosa Beach, Inc.",6628 Van Nuys Blvd.,91405,34.191519,-118.448248
Our Lady of Guadalupe Elementary,340 Massey St.,90254-4927,33.858807,-118.385816
A Bright Beginning,2440 West Manchester,90305-2518,33.959674,-118.320646
A Bright Beginning CDC,712 E  Manchester Blvd,90301-1912,33.959502,-118.345953
Animo Inglewood Charter High,3425 West Manchester Blvd.,90305-2101,33.960029,-118.331386
Bennett/Kew Leadership Academy of Excellence,11710 South Cherry Ave.,90303-2933,33.92782,-118.332907
Beulah Payne STEAM Academy,215 West 94th St.,90301-3701,33.950924,-118.357406
Centinela,1123 Marlborough Ave.,90302-1697,33.977631,-118.346335
Children of Promise Preparatory Academy,3130 West 111th Pl.,90303-2315,33.933822,-118.32749
City Honors International Preparatory High,120 West Regent St.,90301-1225,33.963561,-118.356184
CORE 4 Learning Launchpad,701 Walnut St. Unit A,90301-0326,33.955311,-118.356828
Crozier (George W.) Junior High,1210 West Regent St.,90301-1705,33.964264,-118.367607
Dolores T Richardson School,8420 South Crenshaw Blvd,90305-1914,33.962312,-118.327328
Frank D. Parent,5354 West 64th St.,90302-1042,33.98272,-118.374599
Freeman (Daniel) Elementary,2602 West 79th St.,90305-1032,33.9672,-118.322185
Grace Hopper STEM Academy,601 Grace Ave.,90301-1306,33.96839,-118.347038
Highland Elementary,430 Venice Way,90302-2099,33.972731,-118.362768
Hudnall (Claude) Elementary,331 West Olive St.,90301-2213,33.961095,-118.360747
ICEF Inglewood Elementary Charter Academy,434 South Grevillea Ave.,90301-2300,33.958058,-118.354921
ICEF Inglewood Middle Charter Academy,304 East Spruce Ave.,90301-2711,33.958349,-118.34984
Inglewood Academy,401 South Inglewood Ave.,90301,33.958761,-118.361752
Inglewood Adult,441 W. Hillcrest Blvd.,90301,33.956741,-118.363134
Inglewood Continuation High,441 West Hillcrest Blvd.,90301-2521,33.956734,-118.363124
Inglewood High,231 South Grevillea Ave.,90301-2323,33.961275,-118.355076
Iovine and Young Center Inglewood,120 West Regent St.,90301-1225,33.96359,-118.356251
Kelso (William H.),809 East Kelso St.,90301-2809,33.956819,-118.345298
Kids' Castle Child Care Center,745 N. La Brea Ave.,90302-2203,33.973018,-118.357928
La Tijera Academy of Excellence Charter,1415 North La Tijera Blvd.,90302-1022,33.980914,-118.368537
Monroe (Albert F.) Magnet Middle School,10711 10th Ave.,90303-2015,33.93929,-118.327356
Morningside High,10500 South Yukon Ave.,90303-2003,33.940768,-118.33511
Oak Street,633 South Oak St.,90301-2547,33.955671,-118.366098
"Slauson Learning Center, No. 2",260 North Locust St.,90301-1204,33.966631,-118.349936
St. John Chrysostom,530 East Florence Ave.,90301-1402,33.969166,-118.347704
St. Mary's Academy,701 Grace Ave.,90301-1359,33.969064,-118.345421
Today's Fresh Start Charter School Inglewood,3405 West Imperial Hwy.,90303-2219,33.930961,-118.332091
Warren Lane TK-6 Elementary,2602 West 79th St.,90305-1032,33.967113,-118.323171
Wilder's Preparatory Academy Charter,830 North La Brea Ave.,90302-2206,33.974312,-118.357656
Wilder's Preparatory Academy Charter Middle,830 North La Brea Ave.,90302-2206,33.974312,-118.357656
Woodworth-Monroe Academy,10711 10th Ave.,90303-2015,33.938839,-118.327841
Worthington TK-6 Elementary,11101 South Yukon Ave.,90303-2728,33.934459,-118.335124
Crestview Preparatory School,140 Foothill Blvd.,91011-3727,34.194056,-118.179352
